author,Hauptgenre_Avg,GenreWechsel_Avg,Differenz,Wechsel_besser,total_books,switch_books,main_genre_books,main_genre
Chris Bohjalian,3.7125,3.5666666666666664,-0.14583333333333348,False,7,3,4,Fiction
Chris Bonington,3.8733333333333335,4.1,0.22666666666666613,True,4,1,3,Sports
Chris Grabenstein,3.915,3.88,-0.03500000000000014,False,4,2,2,Mystery
Chris Heimerdinger,4.079,3.795,-0.2839999999999998,False,12,2,10,Lds
Chris Wraight,3.885,4.06,0.17499999999999982,True,5,1,4,Science Fiction
Christian Wolmar,4.003333333333333,3.92,-0.08333333333333304,False,4,1,3,History
Christie Golden,3.92,3.8200000000000003,-0.09999999999999964,False,5,3,2,Media Tie In
Christine  Johnson,3.86,3.83,-0.029999999999999805,False,4,1,3,Category Romance
Christine Feehan,4.2975,4.2,-0.09750000000000014,False,7,3,4,Fantasy
Christine Rimmer,3.8980000000000006,3.94,0.04199999999999937,True,6,1,5,Romance
Christine Warren,4.005,4.0600000000000005,0.055000000000000604,True,4,2,2,Romance
Christopher Hart,3.8524999999999996,4.195,0.3425000000000007,True,14,2,12,Art
Christopher Hilton,4.116666666666666,4.58,0.4633333333333338,True,4,1,3,Nonfiction
Christopher Isherwood,3.9283333333333332,3.995,0.06666666666666687,True,8,2,6,Fiction
Christopher J. Koch,3.56,3.79,0.22999999999999998,True,4,2,2,Fiction
Christopher J.H. Wright,4.1825,4.15,-0.03249999999999975,False,5,1,4,Religion
Christopher L. Bennett,3.8425000000000002,3.68,-0.1625000000000001,False,5,1,4,Media Tie In
Cindy Gerard,4.0875,3.65,-0.43750000000000044,False,9,1,8,Romance
Claire Delacroix,3.47,3.21,-0.26000000000000023,False,6,1,5,Romance
Clarissa Pinkola Estã©S,4.316666666666666,4.585,0.26833333333333353,True,5,2,3,Nonfiction
Clark Ashton Smith,4.21,3.65,-0.56,False,4,2,2,Fantasy
Claudia Gray,3.755,3.9299999999999997,0.17499999999999982,True,4,2,2,Young Adult
Clive Gifford,4.145,4.25,0.10500000000000043,True,4,2,2,Science
Colin Tudge,3.98,3.87,-0.10999999999999988,False,5,2,3,Science
Collins,3.92,4.2,0.28000000000000025,True,5,2,3,Nonfiction
Colm Tã³Ibã­N,3.7249999999999996,3.5549999999999997,-0.16999999999999993,False,4,2,2,Fiction
Colum Mccann,3.81,3.9050000000000002,0.0950000000000002,True,5,2,3,Fiction
Connie Briscoe,4.085,4.17,0.08499999999999996,True,4,2,2,Cultural
Connie Palmen,3.685,3.41,-0.2749999999999999,False,4,2,2,European Literature
Cory Doctorow,3.745,3.835,0.08999999999999986,True,4,2,2,Science Fiction
Craig Groeschel,4.165,4.08,-0.08499999999999996,False,4,2,2,Christian
Craig L. Symonds,4.2075,4.1850000000000005,-0.022499999999999076,False,6,2,4,History
Craig Shaw Gardner,3.6775,3.6950000000000003,0.01750000000000007,True,6,2,4,Fantasy
Crista Mchugh,3.83,3.57,-0.26000000000000023,False,4,1,3,Fantasy
Crystal Green,3.393333333333333,3.45,0.05666666666666709,True,4,1,3,Romance
Cynthia Eden,4.0475,3.99,-0.05750000000000011,False,7,3,4,Fantasy
Cynthia Ozick,3.42,3.97,0.5500000000000003,True,4,1,3,Fiction
D. Martyn Lloyd-Jones,4.585,4.368,-0.21699999999999964,False,7,5,2,Reference
D. Michael Quinn,4.0,4.046666666666667,0.046666666666666856,True,6,3,3,Religion
D.G. Hart,3.675,3.6766666666666663,0.0016666666666664831,True,5,3,2,History
D.W. Buffa,3.745,3.75,0.004999999999999893,True,5,1,4,Fiction
Daisy Harris,3.546666666666667,3.57,0.023333333333332984,True,4,1,3,Romance
Daisy Meadows,4.075714285714286,4.076,0.0002857142857140005,True,12,5,7,Paranormal
"Daisy Meadows,Georgie Ripper",3.8524999999999996,3.9133333333333336,0.06083333333333396,True,15,3,12,Childrens
Dalai Lama Xiv,4.113333333333333,4.115,0.0016666666666669272,True,5,2,3,Religion
Dale Carnegie,3.895,4.2,0.30500000000000016,True,4,2,2,Self Help
Dale Ralph Davis,4.543333333333333,4.48,-0.06333333333333258,False,4,1,3,Religion
Dan Abnett,4.256875,3.95,-0.3068749999999998,False,17,1,16,Science Fiction
Dan Green,4.103333333333333,4.43,0.3266666666666671,True,4,1,3,Art
Dan Gutman,4.117142857142857,3.85,-0.26714285714285735,False,8,1,7,Sports
"Dan Gutman,Jim Paillot",4.172,4.194,0.02200000000000024,True,10,5,5,Fiction
Dan Simmons,3.85,3.7550000000000003,-0.09499999999999975,False,10,6,4,Horror
Dana Marie Bell,4.0825,3.9299999999999997,-0.15249999999999986,False,10,2,8,Fantasy
Dana Mentink,4.003333333333333,3.983333333333333,-0.020000000000000018,False,6,3,3,Category Romance
Dandi Daley Mackall,4.243333333333333,4.08,-0.1633333333333331,False,5,2,3,Animals
Daniel G. Amen,3.745,3.84,0.09499999999999975,True,4,2,2,Nonfiction
Daniel Woodrell,3.874,3.81,-0.06400000000000006,False,6,1,5,Fiction
Darynda Jones,4.3475,3.7800000000000002,-0.5674999999999999,False,6,2,4,Fantasy
Dav Pilkey,4.171666666666667,4.285,0.11333333333333329,True,8,2,6,Childrens
Dave Barry,3.8074999999999997,3.91,0.10250000000000048,True,13,1,12,Humor
Dave Ramsey,4.13,4.3100000000000005,0.1800000000000006,True,5,2,3,Nonfiction
David Adams Richards,3.7199999999999998,3.783333333333333,0.06333333333333346,True,7,3,4,Fiction
David Attenborough,4.366666666666666,4.2575,-0.10916666666666597,False,7,4,3,Science
David Baldacci,4.046,4.101999999999999,0.05599999999999916,True,10,5,5,Fiction
David Crystal,3.7225,3.7659999999999996,0.04349999999999943,True,9,5,4,Humanities
David Drake,3.966666666666667,3.63,-0.3366666666666669,False,7,1,6,Science Fiction
David Ellis,3.77,4.075,0.30500000000000016,True,4,2,2,Thriller
David Hewson,3.78,4.02,0.23999999999999977,True,4,1,3,Mystery
David Hosp,3.823333333333333,3.71,-0.11333333333333284,False,4,1,3,Fiction
David L. Pulver,3.784,4.27,0.48599999999999977,True,6,1,5,Games
David M. Glantz,4.0024999999999995,4.215,0.21250000000000036,True,6,2,4,History
David M. Halperin,3.8066666666666666,4.28,0.4733333333333336,True,4,1,3,GLBT
David Macaulay,3.84,4.078,0.23800000000000043,True,7,5,2,Childrens
David Mamet,3.6466666666666665,3.73,0.08333333333333348,True,7,4,3,Plays
David Nicolle,3.5125,3.88,0.3674999999999997,True,5,1,4,History
David Poyer,3.9766666666666666,3.925,-0.05166666666666675,False,5,2,3,War
David Quammen,4.095,3.98,-0.11499999999999977,False,5,1,4,Science
David Rosenfelt,4.0042857142857144,4.04,0.03571428571428559,True,8,1,7,Mystery
David Weber,4.131666666666667,4.056666666666666,-0.07500000000000107,False,9,3,6,Science Fiction
David Zeb Cook,3.5425,3.83,0.2875000000000001,True,5,1,4,Games
Dawn Atkins,3.4233333333333333,3.32,-0.1033333333333335,False,7,1,6,Romance
Dean Hughes,4.027142857142858,3.58,-0.4471428571428575,False,9,2,7,Historical
Dean Koontz,3.9375,4.115,0.1775000000000002,True,14,2,12,Horror
Debbi Rawlins,3.6340000000000003,3.455,-0.17900000000000027,False,12,2,10,Romance
Debbie Macomber,3.863846153846154,4.081428571428572,0.2175824175824177,True,20,7,13,Romance
Debby Giusti,4.006666666666667,4.1,0.09333333333333282,True,5,2,3,Love Inspired
Deborah Ellis,3.8899999999999997,4.155,0.26500000000000057,True,4,2,2,Realistic Fiction
Deborah Hale,3.5837499999999998,3.95,0.3662500000000004,True,9,1,8,Romance
Deborah Tannen,3.758,4.05,0.2919999999999998,True,6,1,5,Nonfiction
Debra Anastasia,4.0200000000000005,4.095000000000001,0.07500000000000018,True,4,2,2,Paranormal
Debra Cowan,3.965,3.7350000000000003,-0.22999999999999954,False,4,2,2,Romance
Deepak Chopra,3.8957142857142855,4.1,0.20428571428571418,True,9,2,7,Spirituality
Delilah Devlin,3.73,3.685,-0.04499999999999993,False,7,4,3,Adult Fiction
Demi,3.88,4.0,0.1200000000000001,True,5,1,4,Childrens
Denise Hunter,4.06,4.06,0.0,False,4,1,3,Christian Fiction
Dennis Jã¼Rgensen,3.5342857142857147,3.5480000000000005,0.01371428571428579,True,12,5,7,European Literature
Deseret Book,4.1850000000000005,4.15,-0.03500000000000014,False,6,2,4,Religion
Desmond Morris,3.825,3.9675000000000002,0.14250000000000007,True,6,4,2,Science
Desmond Tutu,4.140000000000001,4.215,0.07499999999999929,True,4,2,2,Religion
Devon Monk,4.12,3.995,-0.125,False,6,2,4,Fantasy
Diana Hamilton,3.25,3.085,-0.16500000000000004,False,6,2,4,Category Romance
Diana Rosen,3.5233333333333334,2.69,-0.8333333333333335,False,4,1,3,Food and Drink
Diane Chamberlain,4.0275,4.25,0.22250000000000014,True,5,1,4,Fiction
Diane Duane,4.03875,4.04,0.0012499999999997513,True,9,1,8,Fantasy
Diane Farr,3.716666666666667,3.72,0.0033333333333334103,True,4,1,3,Romance
Diann Mills,4.016,3.76,-0.2560000000000002,False,6,1,5,Christian Fiction
Dimitri Verhulst,3.48,3.37,-0.10999999999999988,False,4,1,3,Fiction
Dionne Brand,3.9450000000000003,3.605,-0.3400000000000003,False,4,2,2,Poetry
Dixie Lynn Dwyer,4.081666666666667,4.075,-0.006666666666666821,False,8,2,6,Erotica
Djenar Maesa Ayu,3.325,3.23,-0.0950000000000002,False,4,2,2,Fiction
Dolores Cannon,4.468,4.59,0.12199999999999989,True,6,1,5,Spirituality
Dolores Hayden,4.005,4.04,0.03500000000000014,True,4,2,2,Nonfiction
Don Bassingthwaite,3.9033333333333338,3.5999999999999996,-0.3033333333333341,False,5,2,3,Fantasy
